rating,genre,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating
6,1033,96.0,2,29,14,29.0
2,557,110.0,1,86,7,78.0
3,951,123.0,0,91,47,93.0
6,292,96.0,1,79,28,59.0
2,712,87.0,1,88,8,70.0
6,334,99.0,0,85,62,76.0
0,689,208.0,1,67,15,70.0
6,1033,102.0,1,75,12,38.0
2,747,113.0,1,81,36,72.0
6,995,94.0,2,43,14,33.0
3,782,91.0,2,50,6,78.0
3,1006,165.0,1,72,25,77.0
6,712,97.0,1,80,20,74.0
6,995,120.0,0,75,48,71.0
0,626,93.0,1,93,30,74.0
3,247,111.0,1,80,40,69.0
6,752,110.0,2,38,13,61.0
6,279,128.0,1,81,16,63.0
2,160,147.0,1,90,21,81.0
0,163,87.0,2,40,5,49.0
2,731,94.0,1,95,39,71.0
6,967,96.0,0,92,60,83.0
2,160,101.0,1,67,9,69.0
3,990,107.0,2,51,39,71.0
2,55,99.0,1,100,9,86.0
6,292,120.0,0,78,41,64.0
0,840,95.0,1,70,23,57.0
6,1025,106.0,1,91,35,76.0
0,716,118.0,0,92,52,84.0
0,419,30.0,1,73,15,72.0
2,951,99.0,1,86,7,61.0
3,752,96.0,2,58,12,51.0
3,752,101.0,1,65,20,50.0
6,961,118.0,1,78,27,49.0
6,313,80.0,2,33,12,29.0
3,557,110.0,0,91,44,83.0
6,689,109.0,1,78,9,77.0
6,54,102.0,1,67,9,63.0
6,811,79.0,0,92,52,92.0
6,160,122.0,1,85,20,82.0
3,663,98.0,2,33,6,51.0
3,213,123.0,1,92,26,80.0
6,951,122.0,0,93,43,93.0
2,664,81.0,1,89,9,59.0
3,255,105.0,2,43,14,66.0
3,860,110.0,1,83,18,84.0
2,438,114.0,1,82,17,87.0
3,716,144.0,2,39,36,47.0
0,145,130.0,1,74,23,83.0
0,160,141.0,2,25,12,61.0
3,1033,90.0,2,44,9,29.0
2,13,74.0,1,67,12,53.0
2,308,85.0,1,100,10,89.0
4,752,111.0,2,33,21,45.0
2,739,143.0,1,64,14,74.0
3,802,92.0,0,98,42,80.0
6,1033,93.0,0,96,68,89.0
2,689,153.0,1,91,34,80.0
6,954,104.0,2,11,9,28.0
3,160,93.0,1,92,13,81.0
6,951,105.0,1,78,23,67.0
2,712,109.0,1,100,11,80.0
0,727,113.0,1,87,39,82.0
2,160,161.0,1,67,9,51.0
6,279,103.0,2,20,5,29.0
4,940,80.0,1,60,5,67.0
3,864,101.0,1,89,37,68.0
0,162,88.0,1,100,15,74.0
2,59,139.0,1,97,31,93.0
6,1033,83.0,1,67,24,54.0
3,292,126.0,2,33,12,37.0
6,213,97.0,1,85,13,75.0
2,632,120.0,1,75,8,49.0
2,822,91.0,1,79,38,46.0
6,860,95.0,1,60,5,50.0
