rating,genre,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating
R,"Action & Adventure, Science Fiction & Fantasy",119,Rotten,22,151,41
R,"Art House & International, Horror, Mystery & Suspense",110,Fresh,86,14,68
NR,"Comedy, Drama",98,Fresh,80,30,51
R,Drama,99,Certified Fresh,94,169,76
R,"Comedy, Drama",104,Certified Fresh,93,222,74
R,"Documentary, Special Interest",87,Fresh,60,5,39
R,Comedy,93,Rotten,26,53,48
R,"Drama, Mystery & Suspense",97,Rotten,0,20,39
R,"Drama, Mystery & Suspense",92,Rotten,0,8,35
R,Drama,117,Rotten,50,26,72
R,"Action & Adventure, Horror, Science Fiction & Fantasy",107,Fresh,65,198,52
PG-13,"Documentary, Special Interest",82,Fresh,84,31,76
NR,"Documentary, Special Interest",96,Fresh,91,23,79
NR,"Drama, Mystery & Suspense, Science Fiction & Fantasy",96,Fresh,82,11,74
PG,"Documentary, Special Interest",80,Fresh,62,13,76
R,"Action & Adventure, Drama, Mystery & Suspense",91,Certified Fresh,98,42,80
PG,"Documentary, Horror, Mystery & Suspense, Science Fiction & Fantasy, Special Interest, Romance",96,Fresh,64,11,47
PG,"Classics, Science Fiction & Fantasy",65,Fresh,75,12,21
R,"Action & Adventure, Drama, Mystery & Suspense",94,Rotten,33,6,26
R,"Horror, Mystery & Suspense",101,Rotten,0,5,21
G,"Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy, Romance",105,Rotten,36,11,60
PG,"Action & Adventure, Drama, Western",92,Fresh,91,11,71
PG,"Classics, Comedy",102,Fresh,97,30,80
NR,"Classics, Drama, Horror, Mystery & Suspense",129,Fresh,63,27,83
PG,"Classics, Comedy, Drama, Sports & Fitness",96,Fresh,92,38,62
NR,"Action & Adventure, Classics, Drama",118,Fresh,100,6,83
NR,"Drama, Science Fiction & Fantasy, Romance",120,Certified Fresh,95,64,90
NR,Drama,93,Fresh,82,22,46
PG-13,"Comedy, Drama",105,Rotten,31,13,43
R,"Action & Adventure, Drama, Mystery & Suspense",112,Rotten,42,12,52
R,"Action & Adventure, Comedy",95,Fresh,67,6,43
PG,Comedy,98,Rotten,44,16,69
PG,"Classics, Drama, Mystery & Suspense",90,Fresh,100,29,90
PG,"Classics, Drama, Mystery & Suspense",116,Certified Fresh,97,64,91
R,"Art House & International, Drama, Mystery & Suspense",99,Fresh,67,6,26
NR,"Action & Adventure, Classics, Drama",123,Fresh,90,10,
PG-13,"Classics, Horror, Mystery & Suspense",119,Certified Fresh,95,55,83
R,"Horror, Mystery & Suspense",93,Fresh,71,31,75
PG,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",97,Rotten,40,30,45
NR,"Action & Adventure, Classics",122,Fresh,100,11,67
R,"Action & Adventure, Drama, Mystery & Suspense",125,Rotten,52,21,55
R,"Action & Adventure, Drama, Horror, Mystery & Suspense",165,Fresh,69,26,64
R,"Drama, Mystery & Suspense",102,Rotten,48,21,40
NR,"Classics, Drama, Mystery & Suspense",86,Fresh,86,21,65
PG-13,"Comedy, Drama",95,Rotten,21,24,43
NR,"Classics, Drama, Romance",123,Fresh,100,9,67
NR,"Classics, Horror",70,Rotten,38,13,45
NR,"Art House & International, Classics, Drama, Musical & Performing Arts",103,Certified Fresh,95,44,87
G,"Classics, Drama, Horror, Mystery & Suspense",73,Fresh,100,12,38
R,"Action & Adventure, Drama, Mystery & Suspense",1,Fresh,80,10,53
NR,"Classics, Comedy, Drama",103,Fresh,95,22,86
R,"Classics, Drama, Mystery & Suspense",120,Fresh,86,14,49
PG,"Action & Adventure, Drama",130,Fresh,78,18,72
R,"Action & Adventure, Drama, Mystery & Suspense",130,Fresh,69,32,67
PG,"Mystery & Suspense, Science Fiction & Fantasy",106,Rotten,59,17,55
PG,Action & Adventure,96,Rotten,33,9,42
PG,Comedy,102,Rotten,36,22,55
G,"Classics, Drama, Television",73,Fresh,85,13,82
NR,"Classics, Drama, Romance",86,Certified Fresh,91,43,91
G,"Action & Adventure, Classics, Drama, Western, Romance",93,Fresh,89,9,70
NR,"Classics, Drama, Romance",102,Fresh,95,22,71
PG-13,"Action & Adventure, Classics, Drama",96,Fresh,75,8,25
PG,"Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy",99,Rotten,29,7,25
R,"Comedy, Drama",103,Rotten,27,11,40
G,"Comedy, Drama, Romance",96,Fresh,79,14,62
PG,"Action & Adventure, Classics, Western",110,Certified Fresh,90,49,92
G,"Classics, Comedy, Kids & Family, Musical & Performing Arts",112,Fresh,89,28,66
G,"Classics, Comedy, Musical & Performing Arts, Western, Romance",101,Fresh,75,20,88
G,"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy, Romance",179,Rotten,44,16,70
NR,"Classics, Drama, Romance",108,Fresh,92,13,84
NR,"Classics, Drama, Mystery & Suspense",106,Fresh,100,20,86
NR,"Action & Adventure, Classics",119,Fresh,100,25,89
PG,"Action & Adventure, Classics",106,Fresh,94,16,89
R,"Classics, Comedy, Horror, Mystery & Suspense",80,Fresh,86,35,73
R,Horror,98,Certified Fresh,92,66,77
PG,"Classics, Drama, Romance",102,Certified Fresh,98,83,95
G,"Action & Adventure, Classics, Comedy",150,Rotten,26,38,35
NR,"Classics, Horror, Mystery & Suspense",70,Fresh,94,16,74
PG,"Classics, Drama",108,Fresh,97,35,92
R,"Drama, Horror, Romance",73,Certified Fresh,93,46,73
R,"Drama, Horror, Mystery & Suspense",119,Fresh,61,46,45
NR,"Classics, Drama, Mystery & Suspense",90,Fresh,100,8,78
PG,"Drama, Sports & Fitness",123,Rotten,38,21,82
NR,"Classics, Drama",99,Fresh,93,14,74
G,"Classics, Comedy, Drama, Mystery & Suspense",115,Fresh,95,39,92
G,"Animation, Kids & Family",93,Fresh,76,21,67
NR,"Classics, Drama",135,Fresh,83,6,74
R,Comedy,95,Rotten,20,5,18
R,"Cult Movies, Horror, Mystery & Suspense",93,Rotten,36,25,40
PG,Drama,108,Fresh,75,12,79
G,"Classics, Drama, Kids & Family, Science Fiction & Fantasy",99,Fresh,100,12,74
G,"Classics, Comedy",101,Fresh,88,17,75
PG,"Comedy, Drama, Kids & Family",93,Certified Fresh,89,57,88
NR,"Classics, Drama, Western",130,Rotten,55,20,25
G,"Classics, Drama",246,Fresh,61,36,69
NR,"Classics, Comedy, Romance",88,Fresh,89,18,73
R,"Action & Adventure, Drama",120,Fresh,81,32,72
PG,"Action & Adventure, Mystery & Suspense",113,Fresh,80,25,66
R,Action & Adventure,90,Fresh,70,33,67
PG,"Action & Adventure, Drama",106,Rotten,43,14,73
