rating,genre,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating
3,716,144,2,39,36,47
0,145,130,1,74,23,83
0,160,141,2,25,12,61
3,1033,90,2,44,9,29
2,13,74,1,67,12,53
2,308,85,1,100,10,89
4,752,111,2,33,21,45
2,739,143,1,64,14,74
3,802,92,0,98,42,80
6,1033,93,0,96,68,89
2,689,153,1,91,34,80
6,954,104,2,11,9,28
3,160,93,1,92,13,81
6,951,105,1,78,23,67
2,712,109,1,100,11,80
0,727,113,1,87,39,82
2,160,161,1,67,9,51
6,279,103,2,20,5,29
4,940,80,1,60,5,67
3,864,101,1,89,37,68
0,162,88,1,100,15,74
2,59,139,1,97,31,93
6,1033,83,1,67,24,54
3,292,126,2,33,12,37
6,213,97,1,85,13,75
2,632,120,1,75,8,49
2,822,91,1,79,38,46
6,860,95,1,60,5,50
2,951,93,2,41,39,36
2,693,80,1,91,11,83
6,463,86,1,94,17,72
3,959,88,0,95,41,72
2,691,74,1,92,24,73
2,689,108,1,82,28,89
6,579,95,2,43,7,22
3,697,100,1,91,23,76
2,716,115,1,100,13,87
3,298,117,2,50,12,50
6,167,120,1,71,7,46
6,292,109,2,40,10,38
2,689,125,1,84,25,91
3,618,95,1,88,24,83
6,292,109,2,25,8,17
6,951,134,1,84,37,88
6,1033,92,2,29,7,22
3,667,105,1,100,20,69
2,689,91,1,93,14,78
3,690,128,1,92,24,91
3,617,175,1,97,36,77
2,747,78,1,82,11,55
3,1035,102,2,36,14,33
3,744,80,0,98,56,85
3,1035,115,0,93,57,81
2,651,72,1,100,37,85
6,959,111,2,40,5,51
3,313,98,2,56,25,40
3,951,104,1,88,8,60
2,641,72,1,100,11,82
6,693,90,1,75,20,39
0,62,96,1,80,15,65
0,654,78,2,43,7,37
0,423,48,2,57,7,61
2,65,98,2,55,20,35
0,183,104,0,93,42,79
2,704,89,1,74,27,57
3,987,115,2,19,21,71
0,988,108,2,55,22,76
2,689,103,1,89,9,88
2,59,103,1,90,10,82
2,712,121,1,95,21,81
0,59,116,2,40,5,35
0,160,109,2,57,14,56
6,292,111,2,20,10,19
6,279,98,2,40,10,65
0,704,95,2,40,5,56
3,292,122,2,46,13,33
0,740,133,1,96,25,83
